,10-Minute Sausage Skillet with Cherry Tomatoes and Broccolini ,Arroz Caldo (Chicken Rice Porridge) ,Baked Mustard-Crusted Salmon with Asparagus and Tarragon ,Baked Penne with Green Chiles ,Basil-Cashew-Lime Vermicelli Bowls with Pork and Green Beans ,Beef and Potato Pasties ,Black-Eyed Peas With Chard and Green Herb Smash ,Bourbon Pumpkin Pie ,Braised Chicken Thighs with Squash and Mustard Greens ,"Braised Rotisserie Chicken with Bacon, Tomatoes, and Kale ",Broiled Cod with Fennel and Orange ,Broiled Salmon with Scallions and Sesame ,Brûléed Bourbon-Maple Pumpkin Pie ,Butternut Squash Tart with Fried Sage ,Butternut Squash Vegducken ,Butternut Squash and Creamed-Spinach Gratin ,"Butternut Squash, Kale, and Crunchy Pepitas Taco ",Cacio e Pepe Pie ,"Cheesy Baked Spaghetti Squash Boats with Salami, Sun-Dried Tomatoes, and Spinach ",Cheesy Chicken Enchilada Skillet ,Cheesy Delicata Squash and Kale Casserole ,Cheesy Kale and Mushroom Strata ,Chicken and Dumplings with Mushrooms ,"Chickpea Crêpe ""Tacos"" with Eggplant and Lamb ",Chickpea Salad Sandwich with Creamy Carrot-Radish Slaw ,Chile-Marinated Pork with Vietnamese Brussels Sprouts ,Chilled Coconut Corn Soup ,Coconut Chicken Curry in a Hurry ,Cold Sesame Noodles with Cucumber ,Cracked Farro and Broccoli Salad ,Crispy Chicken and Potatoes with Cabbage Slaw ,Curried Chickpea and Lentil Dal ,"Curried Lentil, Tomato, and Coconut Soup ",Curried Pumpkin Soup ,"Dandelion Salad with Pomegranate Seeds, Pine Nuts, and Roasted Delicata Squash ","Dill-Crusted Pork Tenderloin with Farro, Pea, and Blistered Tomato Salad ",Double-Pork Carnitas ,Easy Beef Lo Mein ,Easy Fried Rice with Chicken and Broccolini ,Easy General Tso's Chicken ,Easy Lamb Tagine with Pomegranate ,Escarole with Italian Sausage and White Beans ,"Farro Salad with Roasted Sweet Potatoes, Red Onion, and Goat Cheese ",Fiorentini with Butternut Squash ,Freeform Chicken Meatballs with Carrots and Yogurt Sauce ,Fresh Corn Quiche ,"Grain Bowl with Spiced Squash, Mushrooms, and Curried Yogurt ","Grain Bowls with Chicken, Spiced Chickpeas, and Avocado ",Hasselback Butternut Squash with Bay Leaves ,Herby Chicken Kofta Meatballs ,Istanbul-Style Wet Burger (Islak Burger) ,Kabocha Squash Cake with Brown Sugar Cream ,Kabocha Squash and Pork Stir-Fry ,"Kale Salad with Butternut Squash, Pomegranate, and Pumpkin Seeds ",Korean Fried Chicken ,Lentil and Chicken Soup with Sweet Potatoes and Escarole ,"Low-Country Boil with Shrimp, Corn, and Sausage ",Make-Ahead Crispy Chicken Cutlets ,Make-Ahead Sheet-Pan Meatballs ,Marbled Pumpkin-Maple Cheesecake Bars ,Mediterranean Eggplant and Barley Salad ,Mexican Meat Patties with Fresh Corn Salsa ,Miso-Harissa Delicata Squash and Brussels Sprouts Salad ,Navy Bean and Escarole Stew with Feta and Olives ,One-Pot Curried Cauliflower with Couscous and Chickpeas ,One-Pot Pasta Primavera with Shrimp ,One-Skillet Roasted Butternut Squash with Spiced Chickpeas ,Orange Sweet Rolls ,"Our Favorite Lasagna with Sausage, Spinach, and Three Cheeses ",Our Favorite Spaghetti and Meatballs ,Oven Risotto with Crispy Roasted Mushrooms ,Pantry Pasta Puttanesca ,Pasta With 15-Minute Meat Sauce ,Persian Chicken with Turmeric and Lime ,"Persian-Spiced Chicken with Spaghetti Squash, Pomegranate, and Pistachios ","Pork Tenderloin with Turmeric, Squash, and Collard Greens Salad ",Pork and Squash Stew with Chiles ,Pull-Apart Bread with Pumpkin and Spinach ,Pumpkin Cheesecake with Bourbon–Sour Cream Topping ,Pumpkin Icebox Pie With Snickerdoodle Crust ,Pumpkin Muffins ,Pumpkin Spice Bundt Cake with Buttermilk Icing ,Pumpkin Whoopie Pies ,Pumpkin and Cookie-Butter Sheet Cake with Toasted Meringue ,Quiche Sardou ,Quick Chicken Tikka Masala ,"Quick Pork Ramen with Carrots, Zucchini, and Bok Choy ",Quick Sesame Chicken with Broccoli ,"Quick Sweet Potato, Mushroom, and Black Bean Burrito ",Quick Sweet and Sour Chicken ,Ricotta-Pumpkin Gnocchi with Brown Butter ,Roast Fish with Cannellini Beans and Green Olives ,Roasted Acorn and Delicata Squash Salad ,Roasted Apricot Chicken with Mint and Sage Butternut Squash ,"Roasted Pumpkin, Marjoram, and Blue Cheese Frittata ",Roasted Sweet Potato and Delicata Squash with Cranberry Agrodolce ,Rotisserie Chicken Salad with Charred Scallion Dressing ,Sausage and Greens Sheet-Pan Dinner ,Sheet-Pan Chicken with Tomatoes and Mozzarella ,"Sheet-Pan Cumin Chicken Thighs with Squash, Fennel, and Grapes ",Sheet-Pan Curry Pork Chops and Sweet Potatoes ,Sheet-Pan Pasta Bake with Chicken and Kale ,Sheet-Pan Roasted Squash and Feta Salad ,"Sheet-Pan Skirt Steak With Balsamic Vinaigrette, Broccolini, and White Beans ",Sheet-Pan Steak Fajitas ,Shrimp Poached in Coconut Milk with Fresh Herbs (Yerra Moolee) ,Shrimp with Herby White Beans and Tomatoes ,Skillet Chicken and Zucchini Enchiladas with Tomatillo Sauce ,"Skillet Phyllo Pie with Butternut Squash, Kale, and Goat Cheese ",Slow Cooker Pork Shoulder with Zesty Basil Sauce ,Slow-Cooker Chicken Congee ,Slow-Cooker Chipotle-Orange Pork Tacos ,Slow-Cooker White Chicken Chili ,Spanish Frittata with Herby Yogurt and Greens ,Spicy Black Bean and Corn Tacos ,Stuffed Sweet Potatoes with Beans and Guacamole ,Stuffed Sweet Potatoes with Curried Chickpeas and Mushrooms ,"Summer Corn, Tomato, and Salmon Salad with Za'atar Dressing ",Thai Red Curry with Butternut Squash and Chickpeas ,The Winterized Penicillin ,Tomato and Cannellini Bean Soup ,Tuna and Artichoke Cooler-Pressed Sandwiches ,Turmeric-Ginger Chicken Soup ,Twice-Baked Butternut Squash With Parmesan Cream and Candied Bacon ,Vegetarian Brown Rice Salad With Parsnips and Whipped Ricotta ,Veggie Burgers with Zucchini and Corn ,Very Versatile Baked Beans With Cabbage ,Vietnamese-Style Spaghetti Squash “Noodle” Bowls with Skirt Steak ,White Bean Salad with Lemon and Cumin ,Winter Squash Soup with Gruyère Croutons ,Yogurt-Braised Chicken Legs with Garlic and Ginger 
0,,,,,,,,4.0,,5.0,,,4.0,3.0,,5.0,1.0,,,,,,5.0,5.0,,5.0,,,,,4.0,,,,3.3333333333333335,,,,,5.0,,4.25,,3.0,,4.0,,,,,,4.75,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,2.6666666666666665,2.5,5.0,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,4.5,5.0,,5.0,,,,,,,4.666666666666667,3.6666666666666665,
1,5.0,,,,5.0,,,1.0,,,5.0,,,3.5,,5.0,,,,,4.0,,4.0,,,,3.0,,,,4.0,,5.0,,5.0,,,,,5.0,4.0,4.0,,4.0,,5.0,,4.0,,5.0,,4.5,,,,,,,,,,,,,,,,,,5.0,,4.0,,5.0,5.0,,5.0,,5.0,,3.5,5.0,,,4.0,,5.0,,,,,,5.0,,,,,5.0,5.0,4.0,4.0,,,4.0,,,,,,,,5.0,2.0,,,5.0,,,,,,,,,,,,1.0,2.0,,5.0
2,,,,,,,,4.0,,,,,,1.0,,,5.0,4.0,,5.0,,2.0,4.5,,4.0,5.0,,5.0,5.0,,,4.0,5.0,5.0,,,,,,5.0,,,,,,3.0,5.0,,,,4.5,,,,,3.0,5.0,5.0,4.0,,5.0,,,,,,,,,,,2.0,5.0,,,5.0,5.0,,5.0,,4.0,1.0,,,1.0,5.0,,,,,3.0,,5.0,,5.0,,,,,,,5.0,,3.0,4.0,,,,,,,,,,5.0,,,5.0,4.0,,,,5.0,5.0,,,5.0,,,5.0,5.0
3,,,,,,,,5.0,,5.0,,,,5.0,,5.0,,,2.0,5.0,,,3.5,,,,,,,,3.0,,4.0,,,,,,,,,4.5,,,,,,5.0,,,,,,,,,5.0,,,,,,,,,4.5,,5.0,5.0,,,5.0,,,,,2.3333333333333335,,,5.0,,,3.0,5.0,,4.0,,5.0,,,,,,,,,5.0,,,5.0,,,,,4.0,3.6666666666666665,,5.0,,,,5.0,5.0,,5.0,,,,5.0,,,,,,,3.0,,5.0,2.5,5.0,
4,5.0,,,,,,4.0,5.0,,,,,3.0,5.0,3.0,,,4.5,,,,,1.0,,,,2.0,,,,,3.0,,,,,,,,,,1.0,,,,5.0,,,5.0,,,4.5,,5.0,,,,,,,3.0,4.5,,,,,5.0,,5.0,,5.0,,,,5.0,,4.0,4.0,5.0,,3.0,,,,,4.0,,4.0,,,,5.0,,,,,,,,,5.0,,,,,,,,,2.0,,,,,5.0,5.0,,,3.0,,4.0,,5.0,5.0,,3.0,5.0,,4.0,5.0,
5,5.0,,,4.0,5.0,,5.0,,,,,5.0,5.0,5.0,,,2.3333333333333335,,,,,,4.0,5.0,,1.0,5.0,,5.0,,,,,,,,,3.0,,4.0,,3.0,,3.0,,,,,4.0,,5.0,,,,5.0,,5.0,5.0,,4.0,,,,5.0,,,,,,,5.0,,4.5,,,4.0,,,,,,5.0,,,,,5.0,,4.0,,,5.0,,,5.0,,,5.0,,,5.0,,,,,,,5.0,,5.0,,5.0,,,,5.0,,,5.0,,,5.0,,4.0,5.0,,5.0,,2.0,1.0,
6,,,,5.0,,,5.0,,,,3.0,,5.0,,3.0,4.0,,,,,,,,,,,,5.0,,5.0,,,,5.0,1.0,,5.0,5.0,,5.0,,,5.0,,,,,5.0,,5.0,5.0,,,5.0,,,,,,,5.0,,,5.0,3.0,,,,4.666666666666667,5.0,5.0,,,,,,,4.0,,,,4.5,,4.0,,,,5.0,,,,5.0,,,,5.0,,,,5.0,,,4.0,,,,,,,,5.0,5.0,4.0,5.0,5.0,,4.0,,1.0,,4.5,1.0,,,,4.0,,,,,
7,,5.0,5.0,5.0,,,5.0,5.0,,5.0,4.0,3.0,,,2.0,,3.0,,3.0,,4.0,5.0,,,,5.0,5.0,,,,,,,,4.0,,,,,,,,,5.0,,,,,,4.0,5.0,3.0,,5.0,,,5.0,5.0,,,3.0,,,3.0,,5.0,,,,,,,,5.0,,,,,,,,5.0,,,,5.0,,5.0,,,4.0,,1.0,,,,,,5.0,4.0,5.0,,,5.0,,4.0,,,4.0,5.0,,,,,5.0,5.0,3.5,5.0,,,,,4.0,,3.0,,5.0,5.0,,,
8,,,,,,5.0,5.0,,,,5.0,5.0,,,,5.0,5.0,5.0,,,,5.0,,,,,4.0,,,,5.0,,,,,,5.0,,,5.0,,5.0,,,2.0,5.0,,4.0,,,,5.0,,5.0,,,,,,,,,,5.0,5.0,,4.0,5.0,4.5,5.0,,,,2.0,4.0,,5.0,,5.0,,,,5.0,5.0,,5.0,,,,,,5.0,,,,,5.0,,,5.0,,4.0,,4.5,,3.0,5.0,,,2.0,5.0,,,,,,,,5.0,,5.0,,,5.0,,5.0,4.666666666666667,,,,
9,,,,3.0,,5.0,4.0,2.0,4.0,5.0,,,,,2.5,5.0,5.0,,,5.0,4.5,,,,,,4.0,,4.0,,,,,,,,,,,5.0,,,,,5.0,5.0,,5.0,,5.0,4.0,,5.0,5.0,,5.0,,,,,,,,5.0,,,,,,,5.0,4.0,,,,,,,,3.0,,5.0,5.0,,,,,,5.0,4.0,,,,,,,5.0,5.0,,5.0,,,,5.0,4.0,,4.5,5.0,,5.0,,,,,5.0,,3.6666666666666665,,,,,5.0,4.0,,5.0,5.0,,,,,
10,,,,,5.0,5.0,,5.0,,,4.333333333333333,5.0,,4.0,5.0,,,,,5.0,,,,,,4.0,4.0,,,,,5.0,,,,,,5.0,3.0,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,5.0,,,,3.0,,,5.0,5.0,,,,,,,,5.0,5.0,5.0,,5.0,,,5.0,,,5.0,,,4.5,,,4.5,,5.0,,5.0,,,,5.0,3.0,5.0,4.333333333333333,,5.0,,,,5.0,,,,1.0,,4.0,,,,,,,,,,
11,,,5.0,,,,5.0,,,4.5,5.0,,,,2.0,3.0,,,,,,,4.0,,,,,4.0,5.0,,,,5.0,5.0,,5.0,5.0,,4.0,,,5.0,,,,5.0,,,5.0,,,,5.0,,,,,5.0,,,5.0,,,,,5.0,,5.0,,,,,,,,4.0,,,,5.0,,,5.0,,,,5.0,5.0,,,5.0,,,,,5.0,5.0,,,,,5.0,,5.0,,4.0,5.0,,5.0,,,,,,5.0,,,,4.0,,,,,,,,,,,5.0,4.0
